observation_id,source_id,dataset_version,source_table,experiment,strain_or_population,replicate,generation,environment,measurement_kind,measurement_value,measurement_lower,measurement_upper,uncertainty_type,uncertainty_level,measurement_units,mutation_rate_multiplier,mutation_rate_multiplier_lower,mutation_rate_multiplier_upper,mutation_rate_multiplier_uncertainty_type,fitness_control,fitness_control_description,raw_source_file,method_notes,curation_notes,calibration_role
sprouffske_2018_s3_mrm_rep3_U,sprouffske_2018,calibration_dataset_v0,S3 Table. Genomic mutation rates.,Engineered mutation-rate evolution experiment,MRM,3,3000,DM1000 original selected environment,genomic_mutation_rate_U,0.00137,0.00104,0.00179,interval,95% confidence interval,mutations per genome per cell generation,4.02941176471,2.31111111111,7.16,derived_interval_from_95ci,,,data/raw/sprouffske_2018/s3_genomic_mutation_rates.xlsx,Values transcribed from PLOS Genetics supplementary S3 Table; U confidence interval columns preserved.,Mutation-rate multiplier is derived relative to the MRS ancestor U row; no fitness value is encoded in this row.,raw_observation_not_fit
sprouffske_2018_s3_mrm_rep4_U,sprouffske_2018,calibration_dataset_v0,S3 Table. Genomic mutation rates.,Engineered mutation-rate evolution experiment,MRM,4,3000,DM1000 original selected environment,genomic_mutation_rate_U,0.0006,0.00045,0.00081,interval,95% confidence interval,mutations per genome per cell generation,1.76470588235,1,3.24,derived_interval_from_95ci,,,data/raw/sprouffske_2018/s3_genomic_mutation_rates.xlsx,Values transcribed from PLOS Genetics supplementary S3 Table; U confidence interval columns preserved.,Mutation-rate multiplier is derived relative to the MRS ancestor U row; no fitness value is encoded in this row.,raw_observation_not_fit
sprouffske_2018_s3_mrm_rep5_U,sprouffske_2018,calibration_dataset_v0,S3 Table. Genomic mutation rates.,Engineered mutation-rate evolution experiment,MRM,5,3000,DM1000 original selected environment,genomic_mutation_rate_U,0.00025,0.00013,0.00048,interval,95% confidence interval,mutations per genome per cell generation,0.735294117647,0.288888888889,1.92,derived_interval_from_95ci,,,data/raw/sprouffske_2018/s3_genomic_mutation_rates.xlsx,Values transcribed from PLOS Genetics supplementary S3 Table; U confidence interval columns preserved.,Mutation-rate multiplier is derived relative to the MRS ancestor U row; no fitness value is encoded in this row.,raw_observation_not_fit
sprouffske_2018_s3_mrm_rep6_U,sprouffske_2018,calibration_dataset_v0,S3 Table. Genomic mutation rates.,Engineered mutation-rate evolution experiment,MRM,6,3000,DM1000 original selected environment,genomic_mutation_rate_U,0.00212,0.00169,0.00266,interval,95% confidence interval,mutations per genome per cell generation,6.23529411765,3.75555555556,10.64,derived_interval_from_95ci,,,data/raw/sprouffske_2018/s3_genomic_mutation_rates.xlsx,Values transcribed from PLOS Genetics supplementary S3 Table; U confidence interval columns preserved.,Mutation-rate multiplier is derived relative to the MRS ancestor U row; no fitness value is encoded in this row.,raw_observation_not_fit
sprouffske_2018_s3_mrm_rep7_U,sprouffske_2018,calibration_dataset_v0,S3 Table. Genomic mutation rates.,Engineered mutation-rate evolution experiment,MRM,7,3000,DM1000 original selected environment,genomic_mutation_rate_U,0.00149,0.00116,0.00193,interval,95% confidence interval,mutations per genome per cell generation,4.38235294118,2.57777777778,7.72,derived_interval_from_95ci,,,data/raw/sprouffske_2018/s3_genomic_mutation_rates.xlsx,Values transcribed from PLOS Genetics supplementary S3 Table; U confidence interval columns preserved.,Mutation-rate multiplier is derived relative to the MRS ancestor U row; no fitness value is encoded in this row.,raw_observation_not_fit
sprouffske_2018_s3_mrm_rep8_U,sprouffske_2018,calibration_dataset_v0,S3 Table. Genomic mutation rates.,Engineered mutation-rate evolution experiment,MRM,8,3000,DM1000 original selected environment,genomic_mutation_rate_U,0.00124,0.00084,0.00184,interval,95% confidence interval,mutations per genome per cell generation,3.64705882353,1.86666666667,7.36,derived_interval_from_95ci,,,data/raw/sprouffske_2018/s3_genomic_mutation_rates.xlsx,Values transcribed from PLOS Genetics supplementary S3 Table; U confidence interval columns preserved.,Mutation-rate multiplier is derived relative to the MRS ancestor U row; no fitness value is encoded in this row.,raw_observation_not_fit
sprouffske_2018_s3_mrl_ancestor_U,sprouffske_2018,calibration_dataset_v0,S3 Table. Genomic mutation rates.,Engineered mutation-rate evolution experiment,MRL,Ancestor,0,DM1000 original selected environment,genomic_mutation_rate_U,0.00414,0.00296,0.00579,interval,95% confidence interval,mutations per genome per cell generation,12.1764705882,6.57777777778,23.16,derived_interval_from_95ci,,,data/raw/sprouffske_2018/s3_genomic_mutation_rates.xlsx,Values transcribed from PLOS Genetics supplementary S3 Table; U confidence interval columns preserved.,Mutation-rate multiplier is derived relative to the MRS ancestor U row; no fitness value is encoded in this row.,raw_observation_not_fit
sprouffske_2018_s3_mrl_rep1_U,sprouffske_2018,calibration_dataset_v0,S3 Table. Genomic mutation rates.,Engineered mutation-rate evolution experiment,MRL,1,3000,DM1000 original selected environment,genomic_mutation_rate_U,0.00181,0.00133,0.00246,interval,95% confidence interval,mutations per genome per cell generation,5.32352941176,2.95555555556,9.84,derived_interval_from_95ci,,,data/raw/sprouffske_2018/s3_genomic_mutation_rates.xlsx,Values transcribed from PLOS Genetics supplementary S3 Table; U confidence interval columns preserved.,Mutation-rate multiplier is derived relative to the MRS ancestor U row; no fitness value is encoded in this row.,raw_observation_not_fit
sprouffske_2018_s3_mrl_rep2_U,sprouffske_2018,calibration_dataset_v0,S3 Table. Genomic mutation rates.,Engineered mutation-rate evolution experiment,MRL,2,3000,DM1000 original selected environment,genomic_mutation_rate_U,0.00254,0.00178,0.00362,interval,95% confidence interval,mutations per genome per cell generation,7.47058823529,3.95555555556,14.48,derived_interval_from_95ci,,,data/raw/sprouffske_2018/s3_genomic_mutation_rates.xlsx,Values transcribed from PLOS Genetics supplementary S3 Table; U confidence interval columns preserved.,Mutation-rate multiplier is derived relative to the MRS ancestor U row; no fitness value is encoded in this row.,raw_observation_not_fit
sprouffske_2018_s3_mrl_rep3_U,sprouffske_2018,calibration_dataset_v0,S3 Table. Genomic mutation rates.,Engineered mutation-rate evolution experiment,MRL,3,3000,DM1000 original selected environment,genomic_mutation_rate_U,0.00148,0.00075,0.00292,interval,95% confidence interval,mutations per genome per cell generation,4.35294117647,1.66666666667,11.68,derived_interval_from_95ci,,,data/raw/sprouffske_2018/s3_genomic_mutation_rates.xlsx,Values transcribed from PLOS Genetics supplementary S3 Table; U confidence interval columns preserved.,Mutation-rate multiplier is derived relative to the MRS ancestor U row; no fitness value is encoded in this row.,raw_observation_not_fit
sprouffske_2018_s3_mrl_rep4_U,sprouffske_2018,calibration_dataset_v0,S3 Table. Genomic mutation rates.,Engineered mutation-rate evolution experiment,MRL,4,3000,DM1000 original selected environment,genomic_mutation_rate_U,0.00134,0.00098,0.00184,interval,95% confidence interval,mutations per genome per cell generation,3.94117647059,2.17777777778,7.36,derived_interval_from_95ci,,,data/raw/sprouffske_2018/s3_genomic_mutation_rates.xlsx,Values transcribed from PLOS Genetics supplementary S3 Table; U confidence interval columns preserved.,Mutation-rate multiplier is derived relative to the MRS ancestor U row; no fitness value is encoded in this row.,raw_observation_not_fit
sprouffske_2018_s3_mrl_rep5_U,sprouffske_2018,calibration_dataset_v0,S3 Table. Genomic mutation rates.,Engineered mutation-rate evolution experiment,MRL,5,3000,DM1000 original selected environment,genomic_mutation_rate_U,0.0046,0.0037,0.00571,interval,95% confidence interval,mutations per genome per cell generation,13.5294117647,8.22222222222,22.84,derived_interval_from_95ci,,,data/raw/sprouffske_2018/s3_genomic_mutation_rates.xlsx,Values transcribed from PLOS Genetics supplementary S3 Table; U confidence interval columns preserved.,Mutation-rate multiplier is derived relative to the MRS ancestor U row; no fitness value is encoded in this row.,raw_observation_not_fit
sprouffske_2018_s3_mrl_rep6_U,sprouffske_2018,calibration_dataset_v0,S3 Table. Genomic mutation rates.,Engineered mutation-rate evolution experiment,MRL,6,3000,DM1000 original selected environment,genomic_mutation_rate_U,0.00336,0.00267,0.00423,interval,95% confidence interval,mutations per genome per cell generation,9.88235294118,5.93333333333,16.92,derived_interval_from_95ci,,,data/raw/sprouffske_2018/s3_genomic_mutation_rates.xlsx,Values transcribed from PLOS Genetics supplementary S3 Table; U confidence interval columns preserved.,Mutation-rate multiplier is derived relative to the MRS ancestor U row; no fitness value is encoded in this row.,raw_observation_not_fit
sprouffske_2018_s3_mrl_rep7_U,sprouffske_2018,calibration_dataset_v0,S3 Table. Genomic mutation rates.,Engineered mutation-rate evolution experiment,MRL,7,3000,DM1000 original selected environment,genomic_mutation_rate_U,0.00706,0.00434,0.01157,interval,95% confidence interval,mutations per genome per cell generation,20.7647058824,9.64444444444,46.28,derived_interval_from_95ci,,,data/raw/sprouffske_2018/s3_genomic_mutation_rates.xlsx,Values transcribed from PLOS Genetics supplementary S3 Table; U confidence interval columns preserved.,Mutation-rate multiplier is derived relative to the MRS ancestor U row; no fitness value is encoded in this row.,raw_observation_not_fit
sprouffske_2018_s3_mrl_rep8_U,sprouffske_2018,calibration_dataset_v0,S3 Table. Genomic mutation rates.,Engineered mutation-rate evolution experiment,MRL,8,3000,DM1000 original selected environment,genomic_mutation_rate_U,0.00649,0.0036,0.0117,interval,95% confidence interval,mutations per genome per cell generation,19.0882352941,8,46.8,derived_interval_from_95ci,,,data/raw/sprouffske_2018/s3_genomic_mutation_rates.xlsx,Values transcribed from PLOS Genetics supplementary S3 Table; U confidence interval columns preserved.,Mutation-rate multiplier is derived relative to the MRS ancestor U row; no fitness value is encoded in this row.,raw_observation_not_fit
sprouffske_2018_s3_mrxl_ancestor_U,sprouffske_2018,calibration_dataset_v0,S3 Table. Genomic mutation rates.,Engineered mutation-rate evolution experiment,MRXL,Ancestor,0,DM1000 original selected environment,genomic_mutation_rate_U,0.03596,0.03079,0.04204,interval,95% confidence interval,mutations per genome per cell generation,105.764705882,68.4222222222,168.16,derived_interval_from_95ci,,,data/raw/sprouffske_2018/s3_genomic_mutation_rates.xlsx,Values transcribed from PLOS Genetics supplementary S3 Table; U confidence interval columns preserved.,Mutation-rate multiplier is derived relative to the MRS ancestor U row; no fitness value is encoded in this row.,raw_observation_not_fit
sprouffske_2018_s3_mrxl_rep1_U,sprouffske_2018,calibration_dataset_v0,S3 Table. Genomic mutation rates.,Engineered mutation-rate evolution experiment,MRXL,1,3000,DM1000 original selected environment,genomic_mutation_rate_U,0.0151,0.01216,0.01876,interval,95% confidence interval,mutations per genome per cell generation,44.4117647059,27.0222222222,75.04,derived_interval_from_95ci,,,data/raw/sprouffske_2018/s3_genomic_mutation_rates.xlsx,Values transcribed from PLOS Genetics supplementary S3 Table; U confidence interval columns preserved.,Mutation-rate multiplier is derived relative to the MRS ancestor U row; no fitness value is encoded in this row.,raw_observation_not_fit
sprouffske_2018_s3_mrxl_rep2_U,sprouffske_2018,calibration_dataset_v0,S3 Table. Genomic mutation rates.,Engineered mutation-rate evolution experiment,MRXL,2,3000,DM1000 original selected environment,genomic_mutation_rate_U,0.01229,0.00987,0.01523,interval,95% confidence interval,mutations per genome per cell generation,36.1470588235,21.9333333333,60.92,derived_interval_from_95ci,,,data/raw/sprouffske_2018/s3_genomic_mutation_rates.xlsx,Values transcribed from PLOS Genetics supplementary S3 Table; U confidence interval columns preserved.,Mutation-rate multiplier is derived relative to the MRS ancestor U row; no fitness value is encoded in this row.,raw_observation_not_fit
sprouffske_2018_s3_mrxl_rep3_U,sprouffske_2018,calibration_dataset_v0,S3 Table. Genomic mutation rates.,Engineered mutation-rate evolution experiment,MRXL,3,3000,DM1000 original selected environment,genomic_mutation_rate_U,0.00626,0.00403,0.00974,interval,95% confidence interval,mutations per genome per cell generation,18.4117647059,8.95555555556,38.96,derived_interval_from_95ci,,,data/raw/sprouffske_2018/s3_genomic_mutation_rates.xlsx,Values transcribed from PLOS Genetics supplementary S3 Table; U confidence interval columns preserved.,Mutation-rate multiplier is derived relative to the MRS ancestor U row; no fitness value is encoded in this row.,raw_observation_not_fit
sprouffske_2018_s3_mrxl_rep4_U,sprouffske_2018,calibration_dataset_v0,S3 Table. Genomic mutation rates.,Engineered mutation-rate evolution experiment,MRXL,4,3000,DM1000 original selected environment,genomic_mutation_rate_U,0.00452,0.00252,0.00811,interval,95% confidence interval,mutations per genome per cell generation,13.2941176471,5.6,32.44,derived_interval_from_95ci,,,data/raw/sprouffske_2018/s3_genomic_mutation_rates.xlsx,Values transcribed from PLOS Genetics supplementary S3 Table; U confidence interval columns preserved.,Mutation-rate multiplier is derived relative to the MRS ancestor U row; no fitness value is encoded in this row.,raw_observation_not_fit
sprouffske_2018_s3_mrxl_rep5_U,sprouffske_2018,calibration_dataset_v0,S3 Table. Genomic mutation rates.,Engineered mutation-rate evolution experiment,MRXL,5,3000,DM1000 original selected environment,genomic_mutation_rate_U,0.00173,0.00137,0.00218,interval,95% confidence interval,mutations per genome per cell generation,5.08823529412,3.04444444444,8.72,derived_interval_from_95ci,,,data/raw/sprouffske_2018/s3_genomic_mutation_rates.xlsx,Values transcribed from PLOS Genetics supplementary S3 Table; U confidence interval columns preserved.,Mutation-rate multiplier is derived relative to the MRS ancestor U row; no fitness value is encoded in this row.,raw_observation_not_fit
sprouffske_2018_s3_mrxl_rep6_U,sprouffske_2018,calibration_dataset_v0,S3 Table. Genomic mutation rates.,Engineered mutation-rate evolution experiment,MRXL,6,3000,DM1000 original selected environment,genomic_mutation_rate_U,0.00414,0.00288,0.00594,interval,95% confidence interval,mutations per genome per cell generation,12.1764705882,6.4,23.76,derived_interval_from_95ci,,,data/raw/sprouffske_2018/s3_genomic_mutation_rates.xlsx,Values transcribed from PLOS Genetics supplementary S3 Table; U confidence interval columns preserved.,Mutation-rate multiplier is derived relative to the MRS ancestor U row; no fitness value is encoded in this row.,raw_observation_not_fit
sprouffske_2018_s3_mrxl_rep7_U,sprouffske_2018,calibration_dataset_v0,S3 Table. Genomic mutation rates.,Engineered mutation-rate evolution experiment,MRXL,7,3000,DM1000 original selected environment,genomic_mutation_rate_U,0.00693,0.00536,0.00896,interval,95% confidence interval,mutations per genome per cell generation,20.3823529412,11.9111111111,35.84,derived_interval_from_95ci,,,data/raw/sprouffske_2018/s3_genomic_mutation_rates.xlsx,Values transcribed from PLOS Genetics supplementary S3 Table; U confidence interval columns preserved.,Mutation-rate multiplier is derived relative to the MRS ancestor U row; no fitness value is encoded in this row.,raw_observation_not_fit
sprouffske_2018_s3_mrxl_rep8_U,sprouffske_2018,calibration_dataset_v0,S3 Table. Genomic mutation rates.,Engineered mutation-rate evolution experiment,MRXL,8,3000,DM1000 original selected environment,genomic_mutation_rate_U,0.00078,0.00054,0.00111,interval,95% confidence interval,mutations per genome per cell generation,2.29411764706,1.2,4.44,derived_interval_from_95ci,,,data/raw/sprouffske_2018/s3_genomic_mutation_rates.xlsx,Values transcribed from PLOS Genetics supplementary S3 Table; U confidence interval columns preserved.,Mutation-rate multiplier is derived relative to the MRS ancestor U row; no fitness value is encoded in this row.,raw_observation_not_fit
sprouffske_2018_growth_mrs_ancestor_relative_fitness,sprouffske_2018,calibration_dataset_v0,Dryad phenotyping_data/growth-curves.txt,Engineered mutation-rate evolution experiment,MRS,Ancestor,0,DM1000 original selected environment,relative_fitness,0,0,0,interval,definition of relative-fitness control baseline,cell divisions per hour growth-rate difference (r_evo - r_anc),1,1,1,control_definition,MRS same-batch ancestor mean r,"For evolved populations, r_anc is the mean of three rep 0 ancestor growth-rate estimates for the same strain measured in the same growth-curve batch; relative fitness follows Sprouffske et al. methods as r_evo - r_anc.",data/raw/sprouffske_2018/phenotyping_data/growth-curves.txt,Curated from Dryad growth-curves.txt. Growth-curve r values were fit with Growthcurver by the original authors; relative fitness is computed as r_evo minus matched same-strain ancestor mean r in the same experimental batch.,"Control baseline row: value is exactly 0 by the paper method when the same-strain ancestor is compared to its own matched ancestor control. Raw ancestor r values in growth-curves.txt supply controls for evolved rows, not an independent evolved response.",raw_observation_not_fit
sprouffske_2018_growth_mrs_rep1_relative_fitness,sprouffske_2018,calibration_dataset_v0,Dryad phenotyping_data/growth-curves.txt,Engineered mutation-rate evolution experiment,MRS,1,3000,DM1000 original selected environment,relative_fitness,0.774572222222,0.68826,0.934996666667,distribution,"three matched growth-curve batches; lower/upper are observed min/max, not confidence intervals",cell divisions per hour growth-rate difference (r_evo - r_anc),0.735294117647,0.377777777778,1.48,derived_interval_from_95ci,MRS same-batch ancestor mean r,"For evolved populations, r_anc is the mean of three rep 0 ancestor growth-rate estimates for the same strain measured in the same growth-curve batch; relative fitness follows Sprouffske et al. methods as r_evo - r_anc.",data/raw/sprouffske_2018/phenotyping_data/growth-curves.txt,Curated from Dryad growth-curves.txt. Growth-curve r values were fit with Growthcurver by the original authors; relative fitness is computed as r_evo minus matched same-strain ancestor mean r in the same experimental batch.,"Dryad raw generation=2907; paper describes this final timepoint as approximately 3000 generations. Stored in the existing final-generation calibration slot to align with S3 mutation-rate rows. Exact relative-fitness values by batch: [0.70046, 0.93500, 0.68826]. Matched controls: batch 11: ancestor_mean_r=1.39315, batch 12: ancestor_mean_r=1.41486, batch 13: ancestor_mean_r=1.31634.",raw_observation_not_fit
sprouffske_2018_growth_mrs_rep2_relative_fitness,sprouffske_2018,calibration_dataset_v0,Dryad phenotyping_data/growth-curves.txt,Engineered mutation-rate evolution experiment,MRS,2,3000,DM1000 original selected environment,relative_fitness,1.57244222222,1.30913666667,1.94882,distribution,"three matched growth-curve batches; lower/upper are observed min/max, not confidence intervals",cell divisions per hour growth-rate difference (r_evo - r_anc),0.147058823529,0.0444444444444,0.56,derived_interval_from_95ci,MRS same-batch ancestor mean r,"For evolved populations, r_anc is the mean of three rep 0 ancestor growth-rate estimates for the same strain measured in the same growth-curve batch; relative fitness follows Sprouffske et al. methods as r_evo - r_anc.",data/raw/sprouffske_2018/phenotyping_data/growth-curves.txt,Curated from Dryad growth-curves.txt. Growth-curve r values were fit with Growthcurver by the original authors; relative fitness is computed as r_evo minus matched same-strain ancestor mean r in the same experimental batch.,"Dryad raw generation=2907; paper describes this final timepoint as approximately 3000 generations. Stored in the existing final-generation calibration slot to align with S3 mutation-rate rows. Exact relative-fitness values by batch: [1.45937, 1.30914, 1.94882]. Matched controls: batch 11: ancestor_mean_r=1.39315, batch 12: ancestor_mean_r=1.41486, batch 13: ancestor_mean_r=1.31634.",raw_observation_not_fit
sprouffske_2018_growth_mrs_rep4_relative_fitness,sprouffske_2018,calibration_dataset_v0,Dryad phenotyping_data/growth-curves.txt,Engineered mutation-rate evolution experiment,MRS,4,3000,DM1000 original selected environment,relative_fitness,1.32516555556,1.23813666667,1.38282,distribution,"three matched growth-curve batches; lower/upper are observed min/max, not confidence intervals",cell divisions per hour growth-rate difference (r_evo - r_anc),0.205882352941,0.0666666666667,0.68,derived_interval_from_95ci,MRS same-batch ancestor mean r,"For evolved populations, r_anc is the mean of three rep 0 ancestor growth-rate estimates for the same strain measured in the same growth-curve batch; relative fitness follows Sprouffske et al. methods as r_evo - r_anc.",data/raw/sprouffske_2018/phenotyping_data/growth-curves.txt,Curated from Dryad growth-curves.txt. Growth-curve r values were fit with Growthcurver by the original authors; relative fitness is computed as r_evo minus matched same-strain ancestor mean r in the same experimental batch.,"Dryad raw generation=2907; paper describes this final timepoint as approximately 3000 generations. Stored in the existing final-generation calibration slot to align with S3 mutation-rate rows. Exact relative-fitness values by batch: [1.35454, 1.23814, 1.38282]. Matched controls: batch 11: ancestor_mean_r=1.39315, batch 12: ancestor_mean_r=1.41486, batch 13: ancestor_mean_r=1.31634.",raw_observation_not_fit
sprouffske_2018_growth_mrs_rep5_relative_fitness,sprouffske_2018,calibration_dataset_v0,Dryad phenotyping_data/growth-curves.txt,Engineered mutation-rate evolution experiment,MRS,5,3000,DM1000 original selected environment,relative_fitness,0.632072222222,0.57707,0.671246666667,distribution,"three matched growth-curve batches; lower/upper are observed min/max, not confidence intervals",cell divisions per hour growth-rate difference (r_evo - r_anc),0.911764705882,0.466666666667,1.92,derived_interval_from_95ci,MRS same-batch ancestor mean r,"For evolved populations, r_anc is the mean of three rep 0 ancestor growth-rate estimates for the same strain measured in the same growth-curve batch; relative fitness follows Sprouffske et al. methods as r_evo - r_anc.",data/raw/sprouffske_2018/phenotyping_data/growth-curves.txt,Curated from Dryad growth-curves.txt. Growth-curve r values were fit with Growthcurver by the original authors; relative fitness is computed as r_evo minus matched same-strain ancestor mean r in the same experimental batch.,"Dryad raw generation=2907; paper describes this final timepoint as approximately 3000 generations. Stored in the existing final-generation calibration slot to align with S3 mutation-rate rows. Exact relative-fitness values by batch: [0.64790, 0.67125, 0.57707]. Matched controls: batch 11: ancestor_mean_r=1.39315, batch 12: ancestor_mean_r=1.41486, batch 13: ancestor_mean_r=1.31634.",raw_observation_not_fit
